A11;A12;A13;I07;I08;I09;G09;G10;G11;G12;M15;M16;M17;M18;H06;H07;H08;H09;H10;H11;H12;T09;T10;T11;C08;C09;C10;C11;Y17;Y18;Y19;Y20;Z08;Z09
 0 ; 1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ; 5 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1
 1 ; 0 ; 1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1
-1 ; 1 ; 0 ;-1 ;-1 ;-1 ;-1 ;-1 ; 5 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ; 5 ;-1 ;-1 ;-1 ; 5 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1
-1 ;-1 ;-1 ; 0 ; 2 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1
-1 ;-1 ;-1 ; 2 ; 0 ; 2 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ; 5 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ; 5 ;-1 ;-1 ;-1 ; 5 ;-1 ;-1 ;-1 ;-1
-1 ;-1 ;-1 ;-1 ; 2 ; 0 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ; 5 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ; 5 ;-1 ;-1 ;-1 ;-1 ;-1 ; 5 ;-1 ;-1 ;-1 ;-1 ; 5 ;-1
-1 ;-1 ;-1 ;-1 ;-1 ;-1 ; 2 ; 0 ; 2 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1
-1 ;-1 ;-1 ;-1 ;-1 ;-1 ; 0 ; 2 ;-1 ;-1 ;-1 ; 5 ;-1 ;-1 ;-1 ;-1 ; 5 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1
-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ; 2 ; 0 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ; 5
-1 ;-1 ; 5 ;-1 ;-1 ;-1 ;-1 ; 2 ; 0 ; 2 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ; 5 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1
-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ; 0 ; 3 ;-1 ;-1 ; 5 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ; 5 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1 ;-1
